field,display_name,browse_link,external_link,dc_map,schema_map
title,Title,,,DCTERMS.title,headline
architect,Architect(s),,,DCTERMS.creator,creator
extension_architect,Architect(s) for Extension
donor,Donor
date,Date Created,,,DCTERMS.date,dateCreated
date_built,Date Built,,,DCTERMS.date
date_began,Building Start Date
date_completed,Building Completed Date
status,Status
date_demolished,Demolition Date
current_use,Current Use
description,Description,,,DCTERMS.description,description
subject,Subjects,true,,DCTERMS.subject,keywords
campus,Campus
area,Location,,,,contentLocation
latitude,Latitude,,,,
longitude,Longitude,,,,
source,Source,,,,
identifier,Source Identifier,,,,
type,Type,,,DCTERMS.type,
format,Format,,,,encodingFormat
language,Language,,,DCTERMS.language,
rightsstatement,,,,DCTERMS.rights,license
