objectid,title,identifier,source,rights,rightsstatement,object_location,image_small,image_thumb,image_alt_text
e001,"Engraving of Burnside, James McGill's House",,Notman Archives (McCord Museum),,,/objects/e001.jpg,/objects/e001.jpg,/objects/e001.jpg,
e002,Campus in 1859,,Notman Archives (McCord Museum),,,/objects/e002.jpg,/objects/e002.jpg,/objects/e002.jpg,
e003,Montreal from Mount Royal by E. Whitefield (1852),PR014517,McGill University Archives,,,/objects/e003.jpg,/objects/small/e003_sm.jpg,/objects/thumbs/e003_th.jpg,
e004,Montreal from Mount Royal before 1860,PR038072,McGill University Archives,,,/objects/e004.jpg,/objects/small/e004_sm.jpg,/objects/thumbs/e004_th.jpg,
e005,Stone gate entrance to campus with Arts in the background (1865)  ,PR038103,McGill University Archives,,,/objects/e005.jpg,/objects/small/e005_sm.jpg,/objects/thumbs/e005_th.jpg,
e006,View down McTavish Street with both Rupert's and Prince of Wales Terraces (1869),,Notman Archives (McCord Museum),,,/objects/e006.jpg,/objects/e006.jpg,/objects/e006.jpg,
e007,"McGill campus with Arts, Observatory, Presbyterian College, and Old Medical Building (1873-1880)",,Notman Archives (McCord Museum),,,/objects/e007.jpg,/objects/e007.jpg,/objects/e007.jpg,
e008,"Sketch of the campus in 1875 with Arts, Gatehouse, Observatory, and Presbyterian College",PR014518,McGill University Archives,,,/objects/e008.jpg,/objects/small/e008_sm.jpg,/objects/thumbs/e008_th.jpg,
e009,Campus with many trees (1885) ,,Notman Archives (McCord Museum),,,/objects/e009.jpg,/objects/e009.jpg,/objects/e009.jpg,
e010,Sketch of campus before 1907,PR014481,McGill University Archives,,,/objects/e010.jpg,/objects/small/e010_sm.jpg,/objects/thumbs/e010_th.jpg,
e011,McGill's Tomb from Arts Building in winter (1920s) - McGill Archives,PR008989,McGill University Archives,,,/objects/e011.jpg,/objects/e011.jpg,/objects/e011.jpg,
e012,Campus before 1907 ,,Notman Archives (McCord Museum) ,,,/objects/e012.jpg,/objects/e012.jpg,/objects/e012.jpg,
e013,Campus before 1907  ,,Notman Archives (McCord Museum) ,,,/objects/e013.jpg,/objects/e013.jpg,/objects/e013.jpg,
e015,Macdonald Engineering and Physics before 1907 ,PR000650,McGill University Archives,,,/objects/e015.jpg,/objects/small/e015_sm.jpg,/objects/thumbs/e015_th.jpg,
e016,East campus in 1915 ,,Notman Archives (McCord Museum),,,/objects/e016.jpg,/objects/e016.jpg,/objects/e016.jpg,
e017,Campus from southwest (1920) ,PR002674,McGill University Archives,,,/objects/e017.jpg,/objects/small/e017_sm.jpg,/objects/thumbs/e017_th.jpg,
e018,"West campus, including power house (1920s) ",PR026578,McGill University Archives,,,/objects/e018.jpg,/objects/small/e018_sm.jpg,/objects/thumbs/e018_th.jpg,
e019,"Redpath Museum, Redpath Library, and Presbyterian College (now Morrice Hall) (1901)",PL028867,McGill University Archives,,,/objects/e019.jpg,/objects/small/e019_sm.jpg,/objects/thumbs/e019_th.jpg,
e020,Aerial view of campus (1920s),,Notman Archives (McCord Museum),,,/objects/e020.jpg,/objects/e020.jpg,/objects/e020.jpg,
e021,"Campus in winter with powerhouse, Jesse. Joseph House, Roddick Gates (1925)",PR002662,McGill University Archives,,,/objects/e021.jpg,/objects/small/e021_sm.jpg,/objects/thumbs/e021_th.jpg,
